scenario,run,day,worker_id,worker_type,issue_id,category,severity,action,accepted,duplicate,dispatch_correct,resolved,resolution_hours,submission_minutes
S0,1,1,W075,rider,R01-D00-I06,community_service,low,new_workorder,1,0,1,1,57.702,8.398
S0,1,1,W116,rider,R01-D00-I10,traffic,low,new_workorder,1,0,1,1,41.621,8.621
S0,1,1,W199,rider,R01-D00-I09,road_or_facility,high,invalid,0,0,,,,7.831
S0,1,1,W206,driver,R01-D00-I19,road_or_facility,low,invalid,0,0,,,,7.138
S0,1,1,W237,rider,R01-D00-I15,community_service,low,invalid,0,0,,,,7.663
S0,1,2,W066,rider,R01-D01-I04,community_access,low,invalid,0,0,,,,7.103
S0,1,2,W095,rider,R01-D01-I10,road_or_facility,low,new_workorder,1,0,1,0,,5.919
S0,1,2,W117,rider,R01-D01-I06,community_access,low,new_workorder,1,0,1,1,67.094,8.378
S0,1,2,W185,rider,R01-D01-I13,community_service,low,invalid,0,0,,,,7.222
S0,1,2,W198,rider,R01-D01-I06,community_access,low,invalid,0,1,,,,8.393
S0,1,2,W230,rider,R01-D01-I01,community_access,low,new_workorder,1,0,1,1,58.937,8.703
S0,1,3,W015,rider,R01-D02-I13,public_safety,high,invalid,0,0,,,,8.811
S0,1,3,W045,rider,R01-D02-I08,community_service,low,new_workorder,1,0,1,1,71.065,7.809
S0,1,3,W102,driver,R01-D02-I00,community_access,low,invalid,0,0,,,,7.106
S0,1,3,W140,driver,R01-D02-I00,community_access,low,new_workorder,1,0,1,1,57.991,9.456
S0,1,3,W156,rider,R01-D02-I07,community_access,high,invalid,0,0,,,,7.698
S0,1,3,W231,rider,R01-D02-I09,community_access,medium,new_workorder,1,0,1,1,64.065,8.261
S0,1,4,W087,driver,R01-D03-I13,community_access,low,invalid,0,0,,,,7.709
S0,1,4,W156,rider,R01-D03-I10,traffic,medium,invalid,0,0,,,,7.121
S0,1,5,W059,driver,R01-D04-I02,traffic,critical,emergency_referral,0,0,,,,7.683
S0,1,5,W061,rider,R01-D04-I14,road_or_facility,low,new_workorder,1,0,0,0,,9.705
S0,1,5,W208,rider,R01-D04-I14,road_or_facility,low,invalid,0,1,,,,6.594
S0,1,5,W233,rider,R01-D04-I16,community_access,high,new_workorder,1,0,1,1,46.94,10.506
S0,1,5,W240,rider,R01-D04-I13,road_or_facility,low,new_workorder,1,0,1,1,56.209,7.165
S0,1,6,W078,driver,R01-D05-I02,community_access,low,new_workorder,1,0,1,1,49.42,8.725
S0,1,6,W131,rider,R01-D05-I02,community_access,low,invalid,0,1,,,,7.422
S0,1,6,W156,rider,R01-D05-I11,community_access,high,invalid,0,0,,,,9.721
S0,1,6,W173,rider,R01-D05-I00,road_or_facility,low,invalid,0,0,,,,8.648
S0,1,6,W186,rider,R01-D05-I02,community_access,low,unmerged_duplicate,1,1,0,1,46.579,7.857
S0,1,6,W197,rider,R01-D05-I09,road_or_facility,low,new_workorder,1,0,1,1,30.504,6.274
S0,1,6,W224,rider,R01-D05-I00,road_or_facility,low,new_workorder,1,0,0,0,,9.871
S0,1,7,W042,rider,R01-D06-I15,public_safety,medium,new_workorder,1,0,0,1,32.82,8.394
S0,1,7,W071,driver,R01-D06-I16,traffic,low,new_workorder,1,0,1,1,45.779,6.915
S0,1,7,W093,rider,R01-D06-I11,traffic,high,invalid,0,0,,,,9.554
S0,1,7,W112,rider,R01-D06-I12,road_or_facility,medium,new_workorder,1,0,1,1,48.185,9.533
S0,1,7,W147,rider,R01-D06-I14,community_access,medium,new_workorder,1,0,1,0,,8.316
S0,1,7,W150,rider,R01-D06-I07,road_or_facility,medium,invalid,0,0,,,,8.665
S0,1,7,W178,driver,R01-D06-I08,community_access,low,invalid,0,0,,,,8.274
S0,1,7,W213,driver,R01-D06-I16,traffic,low,invalid,0,1,,,,7.995
S0,1,8,W021,driver,R01-D07-I16,community_access,medium,new_workorder,1,0,1,1,64.323,9.781
S0,1,8,W032,rider,R01-D07-I01,community_service,low,invalid,0,0,,,,8.125
S0,1,8,W073,rider,R01-D07-I16,community_access,medium,unmerged_duplicate,1,1,1,1,49.428,7.802
S0,1,8,W091,rider,R01-D07-I07,community_access,low,invalid,0,0,,,,9.053
S0,1,8,W114,rider,R01-D07-I06,traffic,high,new_workorder,1,0,1,1,57.485,8.314
S0,1,8,W123,driver,R01-D07-I10,community_access,medium,new_workorder,1,0,0,0,,6.461
S0,1,8,W152,rider,R01-D07-I14,community_access,low,invalid,0,0,,,,8.063
S0,1,8,W225,rider,R01-D07-I13,community_access,low,new_workorder,1,0,1,1,53.647,6.978
S0,1,9,W084,rider,R01-D08-I18,community_access,medium,new_workorder,1,0,1,1,26.445,7.883
S0,1,10,W001,rider,R01-D09-I04,community_access,medium,new_workorder,1,0,1,1,30.161,7.736
S0,1,10,W024,rider,R01-D09-I01,road_or_facility,low,new_workorder,1,0,0,1,33.588,5.736
S0,1,10,W057,rider,R01-D09-I10,community_access,medium,new_workorder,1,0,1,1,32.32,9.041
S0,1,10,W067,rider,R01-D09-I05,traffic,low,invalid,0,0,,,,8.949
S0,1,10,W120,rider,R01-D09-I08,traffic,high,invalid,0,0,,,,7.37
S0,1,10,W148,driver,R01-D09-I10,community_access,medium,unmerged_duplicate,1,1,0,1,49.971,9.312
S0,1,10,W171,driver,R01-D09-I17,public_safety,high,new_workorder,1,0,0,0,,9.624
S0,1,10,W182,rider,R01-D09-I13,community_service,low,new_workorder,1,0,0,1,74.13,8.927
S0,1,10,W209,rider,R01-D09-I10,community_access,medium,unmerged_duplicate,1,1,1,1,65.804,7.811
S0,1,10,W230,rider,R01-D09-I00,community_access,medium,new_workorder,1,0,1,0,,7.898
S0,1,10,W232,rider,R01-D09-I11,road_or_facility,medium,new_workorder,1,0,1,1,39.776,7.11
S0,1,11,W036,rider,R01-D10-I11,community_access,low,invalid,0,0,,,,6.562
S0,1,11,W043,driver,R01-D10-I19,community_access,low,new_workorder,1,0,1,1,54.845,7.497
S0,1,11,W074,rider,R01-D10-I09,community_access,low,invalid,0,0,,,,6.958
S0,1,11,W110,rider,R01-D10-I17,road_or_facility,high,invalid,0,0,,,,8.959
S0,1,11,W140,driver,R01-D10-I16,community_access,low,new_workorder,1,0,1,1,48.522,8.126
S0,1,11,W164,rider,R01-D10-I06,community_access,low,invalid,0,0,,,,7.1
S0,1,12,W034,driver,R01-D11-I12,road_or_facility,medium,new_workorder,1,0,0,0,,6.556
