scenario,scenario_label,run,seed,encountered_unique_issues,raw_reports,accepted_contributions,invalid_reports,merged_duplicates,unmerged_duplicates,workorders,emergency_referrals,effective_report_rate,duplicate_or_invalid_rate,dispatch_accuracy,mean_resolution_hours,mean_submission_minutes,participation_gap_pp,rider_participation_rate,driver_participation_rate,issue_coverage_rate,resolution_rate,late_period_participation_rate
S0,现状基准,1,20260914,977,296,157,126,3,13,167,4,0.5304054054054054,0.46959459459459457,0.6167664670658682,52.55008711811917,8.032227469622013,0.35785911594743425,0.1227154046997389,0.12629399585921325,0.15762538382804503,0.7964071856287425,0.12
S1,AI 上报,1,20260914,977,735,515,189,87,31,459,23,0.7006802721088435,0.29931972789115646,0.8671023965141612,31.227875890485368,3.012263191086049,1.803891042170075,0.3028720626631854,0.32091097308488614,0.43807574206755373,0.8235294117647058,0.3136
S2,AI 上报加透明反馈,1,20260914,977,953,701,200,156,52,597,29,0.7355718782791185,0.2644281217208814,0.8576214405360134,26.844666195114566,2.965868335508367,4.938563914611138,0.38746736292428197,0.43685300207039335,0.5578300921187308,0.8609715242881072,0.4096
S3,AI 上报加透明反馈加差异化激励,1,20260914,977,1175,826,281,212,68,682,33,0.7029787234042553,0.2970212765957447,0.8475073313782991,27.069290417464796,3.015180341274342,0.9504348907232341,0.4919060052219321,0.4824016563146998,0.6284544524053224,0.8724340175953079,0.5104
S0,现状基准,2,20260914,981,278,154,118,1,6,159,6,0.5539568345323741,0.4460431654676259,0.6477987421383647,50.19714593362556,8.067373318783119,0.987351190476192,0.11774553571428571,0.12761904761904763,0.1559633027522936,0.8238993710691824,0.13050847457627118
S1,AI 上报,2,20260914,981,735,522,178,88,35,469,12,0.710204081632653,0.2897959183673469,0.8678038379530917,32.713283418014385,3.0260866562975126,5.797619047619046,0.33035714285714285,0.2723809523809524,0.44240570846075433,0.8528784648187633,0.3220338983050847
S2,AI 上报加透明反馈,2,20260914,981,889,620,229,115,40,545,14,0.6974128233970753,0.3025871766029246,0.8495412844036697,26.983322750785636,2.9953245328684077,6.049851190476191,0.36997767857142855,0.43047619047619046,0.5147808358817533,0.8697247706422019,0.3898305084745763
S3,AI 上报加透明反馈加差异化激励,2,20260914,981,1113,790,255,198,68,660,20,0.7097933513027853,0.29020664869721474,0.8303030303030303,26.85693894427999,3.0008739255050894,1.6770833333333346,0.4765625,0.49333333333333335,0.6034658511722731,0.8696969696969697,0.5067796610169492
S0,现状基准,3,20260914,988,273,148,118,0,7,155,11,0.5421245421245421,0.45787545787545786,0.6645161290322581,53.87629941412709,7.927784641819071,0.574172089660159,0.11573333333333333,0.12147505422993492,0.14979757085020243,0.8258064516129032,0.13059033989266547
S1,AI 上报,3,20260914,988,714,530,152,99,32,463,20,0.742296918767507,0.25770308123249297,0.838012958963283,32.06726152413264,2.9844210543315715,3.217353579175702,0.312,0.279826464208243,0.43623481781376516,0.8315334773218143,0.3112701252236136
S2,AI 上报加透明反馈,3,20260914,988,894,602,240,118,52,536,24,0.6733780760626398,0.32662192393736017,0.875,27.260378683079473,3.018037558273283,0.6559652928416482,0.384,0.3774403470715835,0.4898785425101215,0.8936567164179104,0.40966010733452596
S3,AI 上报加透明反馈加差异化激励,3,20260914,988,1068,759,243,187,66,638,37,0.7106741573033708,0.2893258426966292,0.8683385579937304,27.164535665277086,3.015074431423691,5.882169197396964,0.4688,0.40997830802603036,0.5789473684210527,0.8761755485893417,0.4257602862254025
S0,现状基准,4,20260914,1001,272,147,117,3,8,152,17,0.5404411764705882,0.45955882352941174,0.6578947368421053,50.6555945356468,8.100515798744388,1.2371249440214962,0.12012987012987013,0.10775862068965517,0.14385614385614387,0.7236842105263158,0.09965034965034965
S1,AI 上报,4,20260914,1001,698,504,168,95,26,435,27,0.7220630372492837,0.27793696275071633,0.8781609195402299,32.696254022843284,3.011429674079947,2.673906553216898,0.29653679653679654,0.3232758620689655,0.4085914085914086,0.8459770114942529,0.29545454545454547
S2,AI 上报加透明反馈,4,20260914,1001,946,678,224,156,44,566,40,0.7167019027484144,0.2832980972515856,0.872791519434629,27.4646388510872,2.982273647023552,4.544521570383636,0.41829004329004327,0.3728448275862069,0.5214785214785215,0.8975265017667845,0.3881118881118881
S3,AI 上报加透明反馈加差异化激励,4,20260914,1001,1139,810,283,208,46,648,46,0.7111501316944688,0.28884986830553117,0.8364197530864198,28.28928191278477,3.027075577312233,2.3156441259889524,0.4972943722943723,0.47413793103448276,0.6013986013986014,0.8827160493827161,0.5
S0,现状基准,5,20260914,992,270,140,122,1,8,147,7,0.5185185185185185,0.48148148148148145,0.6394557823129252,51.79783064581928,7.962959341256269,2.0610232114656886,0.12330383480825959,0.1026936026936027,0.14012096774193547,0.8163265306122449,0.11623931623931624
S1,AI 上报,5,20260914,992,637,455,155,71,27,411,21,0.7142857142857143,0.2857142857142857,0.851581508515815,31.41776245922096,2.9848415813121165,0.8405589821519011,0.2761061946902655,0.2845117845117845,0.3870967741935484,0.8345498783454988,0.28547008547008546
S2,AI 上报加透明反馈,5,20260914,992,844,603,205,123,36,516,31,0.7144549763033176,0.28554502369668244,0.8643410852713178,26.46880479963685,2.9922072405929985,3.8693721879562606,0.3787610619469027,0.3400673400673401,0.4838709677419355,0.874031007751938,0.37606837606837606
S3,AI 上报加透明反馈加差异化激励,5,20260914,992,1133,774,293,189,66,651,31,0.6831421006178288,0.31685789938217124,0.8525345622119815,27.365888246261967,2.9848948995913815,0.6856172342898037,0.4967551622418879,0.4898989898989899,0.5897177419354839,0.8417818740399385,0.49572649572649574
S0,现状基准,6,20260914,964,292,159,125,1,8,166,11,0.5445205479452054,0.4554794520547945,0.6144578313253012,50.923519419422334,8.021663471640085,0.5189622641509434,0.12441037735849056,0.1296,0.16390041493775934,0.7650602409638554,0.11472602739726027
S1,AI 上报,6,20260914,964,733,538,165,99,30,469,18,0.7339699863574352,0.2660300136425648,0.8422174840085288,33.16172436499149,3.0148079937747108,2.7113207547169837,0.3231132075471698,0.296,0.4553941908713693,0.837953091684435,0.3236301369863014
S2,AI 上报加透明反馈,6,20260914,964,925,668,221,146,36,558,34,0.7221621621621621,0.27783783783783783,0.8530465949820788,27.044497607712746,3.0128296272121635,0.8943396226415101,0.4009433962264151,0.392,0.5414937759336099,0.8709677419354839,0.3921232876712329
S3,AI 上报加透明反馈加差异化激励,6,20260914,964,1118,795,253,201,70,664,27,0.7110912343470484,0.2889087656529517,0.8719879518072289,27.55354479193599,2.997892236403799,10.522358490566036,0.5100235849056604,0.4048,0.6161825726141079,0.875,0.5017123287671232
S0,现状基准,7,20260914,999,323,169,144,5,10,174,6,0.5232198142414861,0.47678018575851394,0.5862068965517241,54.76492701307158,8.024980270392481,1.1229483030792102,0.13231118682566723,0.14354066985645933,0.16416416416416416,0.8448275862068966,0.14950166112956811
S1,AI 上报,7,20260914,999,700,496,174,83,30,443,17,0.7085714285714285,0.2914285714285714,0.8577878103837472,32.441626305843755,3.005758264844475,1.991039236623382,0.2879045996592845,0.3078149920255183,0.4134134134134134,0.8465011286681715,0.29069767441860467
S2,AI 上报加透明反馈,7,20260914,999,968,700,220,171,48,577,29,0.7231404958677686,0.2768595041322314,0.8526863084922011,26.786147671080837,2.9905334689166723,1.4791508739325498,0.40147643384440657,0.41626794258373206,0.5295295295295295,0.8856152512998267,0.420265780730897
S3,AI 上报加透明反馈加差异化激励,7,20260914,999,1137,792,285,200,60,652,34,0.6965699208443272,0.3034300791556728,0.8650306748466258,27.36771902408569,2.9975671361431884,2.710780358050152,0.4832481544576945,0.45614035087719296,0.5925925925925926,0.8665644171779141,0.4883720930232558
S0,现状基准,8,20260914,991,275,141,127,2,7,146,11,0.5127272727272727,0.48727272727272725,0.6575342465753424,49.8240371925473,7.884036991251685,2.223697448926307,0.12352610892756878,0.10128913443830571,0.14026236125126135,0.8013698630136986,0.0975609756097561
S1,AI 上报,8,20260914,991,661,480,155,71,26,435,20,0.7261724659606656,0.27382753403933435,0.8505747126436781,31.861800865698893,3.005165099470669,0.374424945945695,0.28354856822010105,0.287292817679558,0.4127144298688194,0.8275862068965517,0.30662020905923343
S2,AI 上报加透明反馈,8,20260914,991,919,655,207,146,57,566,29,0.7127312295973884,0.28726877040261156,0.8639575971731449,27.226393601561842,2.980507278773513,0.5471091933163919,0.39416058394160586,0.3996316758747698,0.513622603430878,0.8551236749116607,0.41986062717770034
S3,AI 上报加透明反馈加差异化激励,8,20260914,991,1130,767,290,194,73,646,30,0.6787610619469027,0.32123893805309733,0.8575851393188855,26.906712360624663,2.9965168101854363,6.493961738547782,0.5014037057832679,0.43646408839779005,0.5782038345105953,0.8823529411764706,0.4843205574912892
S0,现状基准,9,20260914,1023,266,135,121,0,10,145,12,0.5075187969924813,0.4924812030075188,0.6068965517241379,51.66451743389987,7.972233756008266,0.29346795530471176,0.11159029649595688,0.10865561694290976,0.13196480938416422,0.7793103448275862,0.1048252911813644
S1,AI 上报,9,20260914,1023,683,478,179,66,26,438,34,0.6998535871156661,0.3001464128843338,0.860730593607306,32.35458885962424,2.97398961367268,0.7957191007331721,0.2830188679245283,0.29097605893186,0.4027370478983382,0.8127853881278538,0.28452579034941766
